WL(nm),PL,PE(mW/nm),,
380,0.0005,0.037211,,
381,0.0005,0.034203,,
382,0.0005,0.031196,,
383,0.0004,0.028188,,
384,0.0004,0.025181,,
385,0.0003,0.022173,,
386,0.0003,0.022225,,
387,0.0003,0.022278,,
388,0.0003,0.02233,,
389,0.0003,0.022382,,
390,0.0003,0.022434,,
391,0.0004,0.024216,,
392,0.0004,0.025999,,0.129829733
393,0.0004,0.027781,,
394,0.0004,0.029564,,0.28503662
395,0.0005,0.031346,,
396,0.0005,0.036941,,
397,0.0006,0.042537,,
398,0.0007,0.048132,,
399,0.0008,0.053728,,
400,0.0009,0.059323,,
401,0.0011,0.077038,,
402,0.0014,0.094754,,
403,0.0017,0.112469,,
404,0.0019,0.130185,,
405,0.0022,0.1479,,
406,0.0029,0.19598,,
407,0.0036,0.24406,,
408,0.0043,0.292141,,
409,0.005,0.340221,,
410,0.0057,0.388301,,
411,0.0073,0.494808,,
412,0.0089,0.601315,,
413,0.0104,0.707822,,
414,0.012,0.814329,,
415,0.0136,0.920837,,
416,0.0167,1.134083,,
417,0.0199,1.347329,,
418,0.023,1.560576,,
419,0.0262,1.773822,,
420,0.0293,1.987069,,
421,0.035,2.372921,,
422,0.0407,2.758774,,
423,0.0464,3.144627,,
424,0.0521,3.53048,,
425,0.0578,3.916332,,
426,0.0671,4.550608,,
427,0.0765,5.184885,,
428,0.0858,5.81916,,
429,0.0952,6.453436,,
430,0.1045,7.087712,,
431,0.1181,8.00377,,
432,0.1316,8.919827,,
433,0.1451,9.835885,,
434,0.1586,10.751943,,
435,0.1721,11.668,,
436,0.1889,12.805437,,
437,0.2057,13.942874,,
438,0.2224,15.080311,,
439,0.2392,16.217748,,
440,0.256,17.355184,,
441,0.2811,19.057885,,
442,0.3062,20.760586,,
443,0.3313,22.463287,,
444,0.3564,24.165988,,
445,0.3816,25.868689,,
446,0.4099,27.788965,,
447,0.4382,29.709244,,
448,0.4665,31.62952,,
449,0.4948,33.549798,,
450,0.5232,35.470077,,
451,0.5274,35.758349,,
452,0.5317,36.046622,,
453,0.5359,36.334894,,
454,0.5402,36.623163,,
455,0.5444,36.911435,,
456,0.5172,35.06599,,
457,0.49,33.220543,,
458,0.4628,31.375096,,
459,0.4355,29.529647,,
460,0.4083,27.6842,,
461,0.384,26.03251,,
462,0.3596,24.38082,,
463,0.3352,22.729129,,
464,0.3109,21.077439,,
465,0.2865,19.425749,,
466,0.273,18.506852,,
467,0.2594,17.587954,,
468,0.2459,16.669057,,
469,0.2323,15.75016,,
470,0.2188,14.831263,,
471,0.2081,14.110467,,
472,0.1975,13.38967,,
473,0.1869,12.668874,,
474,0.1762,11.948079,,
475,0.1656,11.227282,,
476,0.1585,10.747527,,
477,0.1514,10.26777,,
478,0.1444,9.788015,,
479,0.1373,9.30826,,
480,0.1302,8.828503,,
481,0.1279,8.671368,,
482,0.1256,8.514231,,
483,0.1233,8.357095,,
484,0.1209,8.199959,,
485,0.1186,8.042822,,
486,0.1198,8.121023,,
487,0.1209,8.199223,,
488,0.1221,8.277424,,
489,0.1232,8.355624,,
490,0.1244,8.433825,,
491,0.1283,8.697609,,
492,0.1322,8.961393,,
493,0.1361,9.225176,,
494,0.14,9.488961,,
495,0.1438,9.752745,,
496,0.1513,10.256092,,
497,0.1587,10.759438,,
498,0.1661,11.262784,,
499,0.1735,11.766131,,
500,0.181,12.269477,,
501,0.1915,12.980388,,
502,0.2019,13.691299,,
503,0.2124,14.40221,,
504,0.2229,15.11312,,
505,0.2334,15.824031,,
506,0.2456,16.651417,,
507,0.2578,17.478804,,
508,0.27,18.306188,,
509,0.2822,19.133575,,
510,0.2944,19.96096,,
511,0.3066,20.788979,,
512,0.3188,21.616998,,
513,0.3311,22.445015,,
514,0.3433,23.273034,,
515,0.3555,24.101052,,
516,0.3676,24.921819,,
517,0.3797,25.742584,,
518,0.3918,26.563352,,
519,0.4039,27.384117,,
520,0.416,28.204884,,
521,0.4263,28.90394,,
522,0.4366,29.602997,,
523,0.4469,30.302052,,
524,0.4573,31.001109,,
525,0.4676,31.700165,,
526,0.4767,32.319232,,
527,0.4858,32.9383,,
528,0.495,33.557365,,
529,0.5041,34.176433,,
530,0.5132,34.795498,,
531,0.5213,35.340066,,
532,0.5293,35.88463,,
533,0.5373,36.429193,,
534,0.5453,36.973757,,
535,0.5534,37.518325,,
536,0.5616,38.074628,,
537,0.5698,38.630927,,
538,0.578,39.18723,,
539,0.5862,39.743533,,
540,0.5944,40.299836,,
541,0.6023,40.835986,,
542,0.6102,41.372136,,
543,0.6181,41.908286,,
