?®?§(nm),œ‡?‘?‚??,æ¯?‘?‚??(mW/nm),,,
380,0,0,,,
381,0,0,,,
382,0,0,,,
383,0,0,,,
384,0,0,,,
385,0,0,,,
386,0,0,,,
387,0,0,,,
388,0,0,,,
389,0,0,,,
390,0,0,,,
391,0,0.000941,,,
392,0,0.001881,,,
393,0,0.002822,,,
394,0.0001,0.003763,,0.00081338,Hawaii
395,0.0001,0.004703,,,
396,0.0001,0.004029,,,
397,0.0001,0.003355,,0.175510829,Canary
398,0,0.002681,,,
399,0,0.002006,,,
400,0,0.001332,,,
401,0,0.001784,,,
402,0,0.002235,,,
403,0,0.002687,,,
404,0,0.003139,,,
405,0.0001,0.00359,,,
406,0.0001,0.004174,,,
407,0.0001,0.004757,,,
408,0.0001,0.00534,,,
409,0.0001,0.005924,,,
410,0.0001,0.006507,,,
411,0.0001,0.007321,,,
412,0.0001,0.008135,,,
413,0.0001,0.008948,,,
414,0.0001,0.009762,,,
415,0.0002,0.010575,,,
416,0.0002,0.012148,,,
417,0.0002,0.013722,,,
418,0.0002,0.015295,,,
419,0.0003,0.016868,,,
420,0.0003,0.018441,,,
421,0.0003,0.018939,,,
422,0.0003,0.019437,,,
423,0.0003,0.019936,,,
424,0.0003,0.020434,,,
425,0.0003,0.020932,,,
426,0.0003,0.022364,,,
427,0.0004,0.023796,,,
428,0.0004,0.025228,,,
429,0.0004,0.026659,,,
430,0.0004,0.028091,,,
431,0.0004,0.028096,,,
432,0.0004,0.028101,,,
433,0.0004,0.028106,,,
434,0.0004,0.02811,,,
435,0.0004,0.028115,,,
436,0.0004,0.029438,,,
437,0.0005,0.030762,,,
438,0.0005,0.032085,,,
439,0.0005,0.033408,,,
440,0.0005,0.034732,,,
441,0.0005,0.035835,,,
442,0.0006,0.036939,,,
443,0.0006,0.038043,,,
444,0.0006,0.039147,,,
445,0.0006,0.040251,,,
446,0.0006,0.04105,,,
447,0.0006,0.04185,,,
448,0.0006,0.04265,,,
449,0.0007,0.04345,,,
450,0.0007,0.04425,,,
451,0.0006,0.041766,,,
452,0.0006,0.039281,,,
453,0.0006,0.036796,,,
454,0.0005,0.034311,,,
455,0.0005,0.031826,,,
456,0.0005,0.029831,,,
457,0.0004,0.027837,,,
458,0.0004,0.025842,,,
459,0.0004,0.023847,,,
460,0.0003,0.021852,,,
461,0.0003,0.020945,,,
462,0.0003,0.020038,,,
463,0.0003,0.019131,,,
464,0.0003,0.018224,,,
465,0.0003,0.017317,,,
466,0.0003,0.018034,,,
467,0.0003,0.01875,,,
468,0.0003,0.019466,,,
469,0.0003,0.020182,,,
470,0.0003,0.020898,,,
471,0.0003,0.020883,,,
472,0.0003,0.020867,,,
473,0.0003,0.020851,,,
474,0.0003,0.020835,,,
