?®?§(nm),œ‡?‘?‚??,æ¯?‘?‚??(mW/nm),,
380,0.0013,0.130011,,
381,0.0012,0.121798,,
382,0.0011,0.113584,,
383,0.001,0.105371,,
384,0.0009,0.097158,,
385,0.0009,0.088945,,
386,0.0009,0.090896,,
387,0.0009,0.092847,,
388,0.0009,0.094798,,
389,0.0009,0.096749,,
390,0.001,0.0987,,
391,0.0011,0.113477,,
392,0.0012,0.128254,,
393,0.0014,0.143031,,
394,0.0015,0.157808,,
395,0.0017,0.172585,,0.245297819
396,0.0021,0.218782,,
397,0.0026,0.264978,,
398,0.003,0.311174,,0.449654618
399,0.0034,0.35737,,
400,0.0039,0.403566,,
401,0.0051,0.532477,,
402,0.0064,0.661388,,
403,0.0076,0.790299,,
404,0.0088,0.91921,,
405,0.0101,1.048121,,
406,0.0131,1.35779,,
407,0.0161,1.667459,,
408,0.019,1.977128,,
409,0.022,2.286796,,
410,0.025,2.596465,,
411,0.031,3.222666,,
412,0.037,3.848866,,
413,0.0431,4.475066,,
414,0.0491,5.101266,,
415,0.0551,5.727466,,
416,0.0661,6.86874,,
417,0.0771,8.010014,,
418,0.0881,9.151289,,
419,0.0991,10.292562,,
420,0.1101,11.433837,,
421,0.1284,13.341602,,
422,0.1468,15.249368,,
423,0.1652,17.157134,,
424,0.1835,19.064898,,
425,0.2019,20.972664,,
426,0.2294,23.832585,,
427,0.2569,26.692508,,
428,0.2845,29.552429,,
429,0.312,32.41235,,
430,0.3395,35.272271,,
431,0.3732,38.770698,,
432,0.4069,42.269126,,
433,0.4405,45.76755,,
434,0.4742,49.265977,,
435,0.5079,52.764404,,
436,0.5478,56.908072,,
437,0.5877,61.051739,,
438,0.6276,65.195407,,
439,0.6674,69.339074,,
440,0.7073,73.482741,,
441,0.7574,78.68571,,
442,0.8075,83.88868,,
443,0.8576,89.091649,,
444,0.9077,94.294618,,
445,0.9577,99.497587,,
446,0.9662,100.375557,,
447,0.9746,101.253533,,
448,0.9831,102.131509,,
449,0.9915,103.009485,,
450,1,103.887461,,
451,0.9416,97.81934,,
452,0.8832,91.751213,,
453,0.8248,85.683091,,
454,0.7664,79.614964,,
455,0.7079,73.546843,,
456,0.6517,67.705863,,
457,0.5955,61.864883,,
458,0.5393,56.023897,,
459,0.4831,50.182917,,
460,0.4268,44.341938,,
461,0.3982,41.364012,,
462,0.3695,38.38609,,
463,0.3408,35.408164,,
464,0.3122,32.430239,,
465,0.2835,29.452317,,
466,0.2633,27.353336,,
467,0.2431,25.254358,,
468,0.2229,23.155378,,
469,0.2027,21.056399,,
470,0.1825,18.95742,,
471,0.1692,17.579188,,
472,0.1559,16.200956,,
473,0.1427,14.822725,,
474,0.1294,13.444493,,
475,0.1161,12.066261,,
476,0.1101,11.440832,,
477,0.1041,10.815402,,
478,0.0981,10.189972,,
479,0.0921,9.564541,,
480,0.086,8.939112,,
481,0.0838,8.701909,,
482,0.0815,8.464708,,
483,0.0792,8.227506,,
484,0.0769,7.990304,,
485,0.0746,7.753102,,
486,0.075,7.789193,,
487,0.0753,7.825284,,
488,0.0757,7.861375,,
489,0.076,7.897466,,
490,0.0764,7.933558,,
491,0.0806,8.373573,,
492,0.0848,8.813588,,
493,0.0891,9.253602,,
494,0.0933,9.693617,,
495,0.0975,10.133632,,
496,0.1057,10.983738,,
497,0.1139,11.833843,,
498,0.1221,12.683948,,
499,0.1303,13.534053,,
500,0.1385,14.384158,,
501,0.1511,15.69826,,
502,0.1638,17.012364,,
503,0.1764,18.326465,,
504,0.1891,19.640567,,
505,0.2017,20.954669,,
