LED:,NVSA219B
CCT,Phosphor Converted Amber
,0.5%
,
Wavelength,Phosphor Converted Amber
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,0.0012
401,0.0005
402,0.0008
403,0.0007
404,0.0007
405,0.0013
406,0.0009
407,0.0018
408,0.0023
409,0.0013
410,0.0023
411,0.002
412,0.0028
413,0.0034
414,0.0032
415,0.0049
416,0.0045
417,0.0057
418,0.0075
419,0.0072
420,0.0079
421,0.0094
422,0.0106
423,0.0125
424,0.013
425,0.0139
426,0.0135
427,0.0153
428,0.0151
429,0.0179
430,0.0186
431,0.0178
432,0.018
433,0.0196
434,0.0199
435,0.0184
436,0.0187
437,0.0181
438,0.0187
439,0.0189
440,0.0194
441,0.0173
442,0.016
443,0.0151
444,0.013
445,0.011
446,0.0098
447,0.0081
448,0.0069
449,0.0064
450,0.0049
451,0.0048
452,0.0034
453,0.0028
454,0.0028
455,0.0021
456,0.0024
457,0.0027
458,0.0018
459,0.0017
460,0.0017
461,0.0016
462,0.002
463,0.0014
464,0.0018
465,0.0013
466,0.0012
467,0.001
468,0.001
469,0.0008
470,0.0011
471,0.0007
472,0.0012
473,0.0014
474,0.0015
475,0.0013
476,0.0008
477,0.0008
478,0.0017
479,0.0012
480,0.0014
481,0.0021
482,0.0015
483,0.0018
484,0.0015
485,0.0016
486,0.0023
487,0.0027
488,0.0025
489,0.0032
490,0.0035
491,0.0041
492,0.0047
493,0.0048
494,0.0055
495,0.0064
496,0.0072
497,0.0077
498,0.0093
499,0.0103
500,0.0129
501,0.0134
502,0.0158
503,0.0169
504,0.0203
505,0.0218
506,0.0239
507,0.0274
508,0.0296
509,0.0329
510,0.0367
511,0.039
512,0.0436
513,0.0461
514,0.0506
515,0.0545
516,0.0588
517,0.0637
518,0.0657
519,0.0697
520,0.0741
521,0.0826
522,0.0865
523,0.0907
524,0.0942
525,0.1003
526,0.1048
527,0.1111
528,0.1159
529,0.121
530,0.127
531,0.1325
532,0.1373
533,0.1441
534,0.1502
535,0.1578
536,0.162
537,0.1675
538,0.1761
539,0.1792
540,0.1881
541,0.194
542,0.2026
543,0.209
544,0.2151
545,0.2254
546,0.2347
547,0.2381
548,0.2469
549,0.2589
550,0.2664
551,0.2737
552,0.2846
553,0.2918
554,0.3037
555,0.315
556,0.3271
557,0.3385
558,0.3506
559,0.3605
560,0.3729
561,0.3856
562,0.3956
563,0.4136
564,0.4302
565,0.4414
566,0.4584
567,0.4766
568,0.4931
569,0.5083
570,0.5182
571,0.5383
572,0.5554
573,0.5705
574,0.5881
575,0.6116
576,0.6212
577,0.639
578,0.6557
579,0.6748
580,0.6914
581,0.7101
582,0.7268
583,0.7449
584,0.7623
585,0.7766
586,0.7912
587,0.8042
588,0.8251
589,0.8361
590,0.8507
591,0.8623
592,0.8743
593,0.8934
594,0.8987
595,0.9116
596,0.9282
597,0.9359
598,0.9453
599,0.9499
600,0.963
601,0.967
602,0.9707
603,0.9845
604,0.9808
605,0.9873
606,0.9897
607,0.9963
608,0.9836
609,1
610,0.9911
611,0.9891
612,0.991
613,0.9935
614,0.9939
615,0.9846
616,0.9822
617,0.9876
618,0.9714
619,0.9659
620,0.9671
621,0.9578
622,0.9525
623,0.9451
624,0.9354
625,0.9282
626,0.9147
627,0.9064
628,0.9001
629,0.8887
630,0.8812
631,0.868
632,0.8545
633,0.8475
634,0.8417
635,0.8222
636,0.8111
637,0.8094
638,0.7875
639,0.7785
640,0.7708
641,0.7533
642,0.7427
643,0.7306
644,0.7144
645,0.7033
646,0.698
647,0.6784
648,0.6618
649,0.6569
650,0.6445
651,0.6303
652,0.6208
653,0.6125
654,0.595
655,0.584
656,0.5725
657,0.5579
658,0.5455
659,0.5403
660,0.5247
661,0.5114
662,0.5051
663,0.4933
664,0.4801
665,0.4642
666,0.4594
667,0.4521
668,0.4387
669,0.4311
670,0.4194
671,0.41
672,0.3981
673,0.3895
674,0.3776
675,0.3738
676,0.3644
677,0.3565
678,0.3433
679,0.3362
680,0.3292
681,0.3227
682,0.3143
683,0.3088
684,0.2996
685,0.289
686,0.2795
687,0.2734
688,0.2678
689,0.2611
690,0.2582
691,0.2514
692,0.246
693,0.238
694,0.2375
695,0.2263
696,0.2221
697,0.2098
698,0.206
699,0.2036
700,0.1958
701,0.1932
702,0.1859
703,0.1837
704,0.1779
705,0.1709
706,0.1658
707,0.1642
708,0.1568
709,0.1525
710,0.1464
711,0.1434
712,0.1433
713,0.139
714,0.1342
715,0.1309
716,0.1301
717,0.1241
718,0.1202
719,0.1167
720,0.1146
721,0.1121
722,0.1059
723,0.1063
724,0.102
725,0.101
726,0.0985
727,0.095
728,0.0948
729,0.0903
730,0.086
731,0.0846
732,0.0837
733,0.0817
734,0.0802
735,0.0755
736,0.073
737,0.0732
738,0.0715
739,0.0691
740,0.0652
741,0.0641
742,0.0626
743,0.0619
744,0.0584
745,0.0583
746,0.0577
747,0.054
748,0.0518
749,0.0518
750,0.0501
751,0.0503
752,0.0495
753,0.0474
754,0.0462
755,0.0434
756,0.0442
757,0.0425
758,0.0413
759,0.0401
760,0.0404
761,0.0377
762,0.0369
763,0.0356
764,0.0362
765,0.0335
766,0.0337
767,0.031
768,0.0297
769,0.0303
770,0.0287
771,0.0291
772,0.0284
773,0.0265
774,0.0252
775,0.0275
776,0.0248
777,0.0254
778,0.023
779,0.0237
780,0.0234
781,0.0232
782,0.021
783,0.0212
784,0.0208
785,0.0206
786,0.0205
787,0.0193
788,0.0195
789,0.0181
790,0.0176
791,0.0167
792,0.0168
793,0.0157
794,0.015
795,0.0148
796,0.0144
797,0.0146
798,0.0138
799,0.0123
800,0.0144
