Sloan Digital Sky Survey filter set for DIAFI,,,,,
,,,,,
Lambda,u',g',r',I',z'
,,,,,
1100.0,0.004330,0.020985,0.009044,0.006100,95.291595
1099.5,0.004199,0.021295,0.008975,0.006094,95.385071
1099.0,0.004075,0.021289,0.009110,0.005961,95.411629
1098.5,0.004508,0.020538,0.008637,0.005983,95.451729
1098.0,0.005039,0.021100,0.008504,0.005965,95.570969
1097.5,0.004049,0.019693,0.009371,0.005282,95.544769
1097.0,0.004736,0.020139,0.008925,0.005670,95.622482
1096.5,0.004103,0.019878,0.008848,0.005230,95.665779
1096.0,0.004303,0.019783,0.008732,0.005485,95.686829
1095.5,0.004879,0.019661,0.008604,0.005339,95.754036
1095.0,0.004355,0.019485,0.008579,0.005010,95.766953
1094.5,0.004111,0.018450,0.008518,0.004842,95.786331
1094.0,0.004171,0.019345,0.008515,0.005723,95.852020
1093.5,0.004412,0.019124,0.007847,0.005139,95.848557
1093.0,0.004749,0.019069,0.007948,0.004889,95.897217
1092.5,0.004441,0.018424,0.008203,0.004805,95.937698
1092.0,0.004658,0.018218,0.008323,0.004804,95.921417
1091.5,0.004667,0.017748,0.008026,0.005302,95.981468
1091.0,0.004574,0.017631,0.007330,0.005117,95.993355
1090.5,0.004931,0.017687,0.007973,0.005088,95.983528
1090.0,0.004534,0.017851,0.007682,0.004923,96.048058
1089.5,0.004538,0.017311,0.007531,0.004498,96.037376
1089.0,0.004677,0.017715,0.007336,0.005015,96.027222
1088.5,0.004496,0.017476,0.007653,0.004770,96.063698
1088.0,0.004680,0.017284,0.007409,0.004828,96.034866
1087.5,0.004842,0.017541,0.007532,0.004331,96.051224
1087.0,0.004749,0.016267,0.007320,0.004565,96.063431
1086.5,0.004658,0.016391,0.007178,0.004056,96.030128
1086.0,0.004664,0.016222,0.007163,0.004974,96.040710
1085.5,0.005237,0.015940,0.007068,0.004343,96.032295
1085.0,0.005043,0.016437,0.007176,0.004451,95.988258
1084.5,0.005098,0.015516,0.007520,0.004591,96.018471
1084.0,0.004429,0.015883,0.006829,0.004363,95.984329
1083.5,0.004614,0.015274,0.006596,0.003768,95.955994
1083.0,0.004917,0.016044,0.006874,0.003911,95.959343
1082.5,0.005247,0.015701,0.006303,0.004133,95.908485
1082.0,0.004698,0.015066,0.006903,0.003919,95.874847
1081.5,0.004882,0.015276,0.007399,0.004281,95.872452
1081.0,0.004520,0.014746,0.006379,0.003570,95.823608
1080.5,0.004275,0.014840,0.006848,0.004028,95.774376
1080.0,0.004943,0.014740,0.006396,0.004118,95.763306
1079.5,0.004394,0.014688,0.006863,0.004156,95.706650
1079.0,0.004982,0.014481,0.006313,0.003903,95.656715
1078.5,0.005005,0.014894,0.006157,0.003984,95.628510
1078.0,0.004773,0.014320,0.005953,0.003568,95.572418
1077.5,0.005237,0.014200,0.006377,0.004016,95.521027
1077.0,0.004800,0.014114,0.006381,0.004223,95.480942
1076.5,0.005308,0.013778,0.006392,0.004348,95.421616
1076.0,0.005139,0.013990,0.006261,0.003740,95.367981
1075.5,0.005045,0.013449,0.005964,0.004114,95.321472
1075.0,0.005057,0.013611,0.005729,0.003659,95.248291
1074.5,0.004857,0.013424,0.005788,0.003689,95.207497
1074.0,0.005507,0.013148,0.006148,0.003886,95.164726
1073.5,0.004764,0.013147,0.006075,0.003530,95.085617
1073.0,0.004474,0.013034,0.006127,0.003476,95.007477
1072.5,0.005043,0.012404,0.005890,0.004121,94.956696
1072.0,0.004865,0.013031,0.005683,0.004058,94.874275
1071.5,0.005114,0.012794,0.006443,0.003818,94.833405
1071.0,0.005494,0.012635,0.005879,0.003478,94.764885
1070.5,0.004825,0.012095,0.006343,0.003695,94.690331
1070.0,0.005245,0.012423,0.006101,0.004048,94.609589
1069.5,0.004684,0.012042,0.005885,0.003159,94.545136
1069.0,0.005164,0.012504,0.006341,0.003254,94.472412
1068.5,0.005415,0.012215,0.005702,0.002842,94.408463
1068.0,0.005200,0.012237,0.005300,0.003297,94.342567
1067.5,0.005157,0.011844,0.005225,0.003617,94.257813
1067.0,0.005086,0.011625,0.005693,0.003842,94.190910
1066.5,0.005758,0.011877,0.005481,0.003685,94.117645
1066.0,0.004627,0.011917,0.005769,0.003924,94.050697
1065.5,0.005177,0.011614,0.005560,0.003744,93.974884
1065.0,0.004848,0.011723,0.005345,0.003337,93.904839
1064.5,0.004854,0.011336,0.005555,0.003266,93.830490
1064.0,0.004931,0.011064,0.005799,0.003437,93.776253
1063.5,0.005021,0.010488,0.004969,0.003966,93.689934
1063.0,0.004708,0.011414,0.005710,0.003263,93.621437
1062.5,0.004932,0.010799,0.005538,0.002904,93.567825
1062.0,0.004859,0.010573,0.005423,0.003982,93.486351
1061.5,0.005348,0.010476,0.005178,0.003620,93.432083
1061.0,0.004911,0.010228,0.005559,0.003065,93.367455
1060.5,0.005098,0.010382,0.005603,0.003637,93.283257
1060.0,0.005272,0.010641,0.004990,0.003463,93.224907
1059.5,0.004877,0.010188,0.005817,0.003808,93.186607
1059.0,0.004366,0.010559,0.005517,0.002953,93.103943
1058.5,0.004659,0.009879,0.005257,0.003148,93.044273
1058.0,0.004698,0.010018,0.005066,0.003383,93.028236
1057.5,0.004372,0.009627,0.005317,0.003233,92.934006
1057.0,0.004910,0.010306,0.005251,0.003463,92.869507
1056.5,0.004600,0.009548,0.005277,0.003094,92.850464
1056.0,0.004839,0.010119,0.004867,0.003199,92.789864
1055.5,0.004888,0.009659,0.005532,0.003264,92.721870
1055.0,0.004657,0.009299,0.005085,0.003878,92.716324
1054.5,0.004491,0.009580,0.005149,0.002988,92.664551
1054.0,0.004909,0.009270,0.005304,0.003861,92.578682
1053.5,0.004974,0.008899,0.005230,0.003135,92.576370
1053.0,0.004920,0.009152,0.005080,0.003523,92.563683
1052.5,0.004902,0.008935,0.004997,0.003099,92.480431
1052.0,0.004472,0.008816,0.005418,0.003362,92.461853
1051.5,0.004660,0.009405,0.004906,0.003392,92.470284
1051.0,0.005093,0.008446,0.004750,0.003773,92.383125
1050.5,0.004737,0.008785,0.005044,0.003305,92.360344
1050.0,0.004438,0.008540,0.005483,0.003404,92.415192
1049.5,0.004569,0.008999,0.005220,0.002753,92.345680
1049.0,0.004868,0.008095,0.005627,0.003240,92.296555
1048.5,0.004639,0.008535,0.005306,0.003549,92.358978
1048.0,0.004172,0.008704,0.004901,0.003627,92.329758
1047.5,0.004766,0.008029,0.004973,0.003390,92.255905
1047.0,0.004876,0.008513,0.004832,0.003331,92.309212
1046.5,0.004846,0.008468,0.005198,0.002999,92.338326
1046.0,0.004007,0.008579,0.004737,0.003206,92.266212
1045.5,0.004782,0.007735,0.005140,0.003319,92.297218
1045.0,0.005624,0.007709,0.005008,0.003438,92.325470
1044.5,0.004693,0.008230,0.004682,0.003256,92.314674
1044.0,0.004619,0.007537,0.005071,0.003308,92.305702
1043.5,0.004836,0.007539,0.004971,0.003767,92.351601
1043.0,0.004644,0.007734,0.004474,0.003319,92.382935
1042.5,0.004693,0.007891,0.004593,0.003575,92.356308
1042.0,0.005193,0.007202,0.004558,0.003152,92.407867
1041.5,0.004574,0.007672,0.004848,0.002700,92.472977
1041.0,0.004648,0.007671,0.004719,0.002841,92.442917
1040.5,0.004796,0.007348,0.004673,0.003503,92.479004
1040.0,0.004781,0.006724,0.004938,0.003166,92.562599
1039.5,0.004440,0.007122,0.004808,0.003300,92.557945
1039.0,0.004500,0.007641,0.004740,0.002873,92.563896
1038.5,0.004072,0.006510,0.004660,0.002606,92.658333
1038.0,0.004840,0.007356,0.004555,0.003777,92.706802
1037.5,0.004691,0.007068,0.005063,0.003212,92.704147
1037.0,0.004798,0.006573,0.004396,0.003169,92.770561
1036.5,0.004808,0.006928,0.004423,0.003479,92.851601
1036.0,0.004273,0.006389,0.004856,0.003073,92.858521
1035.5,0.004850,0.006035,0.004761,0.003037,92.897392
1035.0,0.004688,0.006977,0.004602,0.003240,92.985603
1034.5,0.004967,0.006472,0.004796,0.002920,93.051628
1034.0,0.004566,0.006385,0.004608,0.003341,93.089722
1033.5,0.004408,0.005999,0.004746,0.003383,93.138428
1033.0,0.004368,0.006694,0.004955,0.003327,93.235580
1032.5,0.004703,0.006607,0.004336,0.003720,93.264412
1032.0,0.005195,0.006477,0.004668,0.003213,93.314575
1031.5,0.004622,0.006142,0.004495,0.003226,93.394623
1031.0,0.004528,0.006353,0.004130,0.002909,93.468971
1030.5,0.005023,0.006478,0.004618,0.003553,93.524376
1030.0,0.004319,0.005392,0.004186,0.003483,93.573891
1029.5,0.004227,0.006236,0.004733,0.003247,93.676895
1029.0,0.005229,0.006149,0.004173,0.003238,93.728897
1028.5,0.004681,0.005751,0.004776,0.002756,93.778427
1028.0,0.004512,0.005672,0.004936,0.003432,93.869995
1027.5,0.004443,0.005546,0.004652,0.003095,93.943970
1027.0,0.004899,0.005145,0.004847,0.003351,93.995346
1026.5,0.004632,0.005915,0.004255,0.003245,94.065544
1026.0,0.004387,0.005965,0.004719,0.003594,94.138046
1025.5,0.004700,0.006333,0.004908,0.003107,94.215996
1025.0,0.004587,0.005273,0.004607,0.003075,94.286766
1024.5,0.004880,0.006211,0.005166,0.003608,94.350906
1024.0,0.004409,0.005467,0.004761,0.003370,94.433281
1023.5,0.004738,0.005466,0.004870,0.003293,94.489754
1023.0,0.004754,0.004858,0.004981,0.003323,94.552162
1022.5,0.004427,0.005470,0.004631,0.002805,94.632133
1022.0,0.005089,0.005141,0.004501,0.003642,94.696022
1021.5,0.004997,0.005445,0.004636,0.003232,94.759506
1021.0,0.005070,0.005376,0.004366,0.003427,94.827965
1020.5,0.004755,0.005269,0.005055,0.003368,94.894341
1020.0,0.004710,0.005113,0.004464,0.003334,94.946030
1019.5,0.004954,0.006006,0.004817,0.003230,95.017754
1019.0,0.005565,0.004973,0.004593,0.003079,95.076218
1018.5,0.004977,0.005073,0.004139,0.003420,95.133957
1018.0,0.004959,0.004471,0.004399,0.003355,95.184013
1017.5,0.005240,0.005033,0.004631,0.002897,95.248253
1017.0,0.004861,0.005489,0.004700,0.002992,95.293221
1016.5,0.005235,0.005117,0.004783,0.002866,95.331917
1016.0,0.005521,0.004843,0.004922,0.002899,95.380760
