Test Number 10480474-33405 - Sphere Raw Data,,,,
Catalog Number: LE174-H00-N30-2A-19,,,,
Part Number: 6LL01N70QY7HN0009D,,,,
Serial Number: E6N00G,,,,
Test Temperature:,24.7,°C,,
Voltage:,230.0,VAC,,
Current:,0.1730,A,,
Power:,36.31,W,,
Power Factor:,0.910,,,
Frequency:,60,Hz,,
Current THD:,20.0,%,,
Efficacy:,81.5,Lumens/Watt,,
,,,,
Derived Data,,,,
Parameter,Scan 1,,,
Date/Time,9/3/2014 10:52,,,
Radiant Flux (Watts),8.05E+00,,,
Luminous Flux (lumens),2.96E+03,,,
Scotopic Luminous Flux (lm'),1.95E+03,,,
Chromaticity x coord,0.5304,,,
Chromaticity y coord,0.4643,,,
Chromaticity u coord,0.2825,,,
Chromaticity v coord,0.3709,,,
Delta uv,0.0144,,,
Chromaticity u' coord,0.2825,,,
Chromaticity v' coord,0.5564,,,
Peak Wavelength (nm),599.4,,,
Center Wavelength (nm),599.2,,,
Centroid Wavelength (nm),608.1,,,
Dominant Wavelength (nm),583.2,,,
Full Width Half Max Bandwidth (nm),109.8,,,
Excitation Purity (%),98.7,,,
Correlated Color Temperature (deg. K),2279,,,
Luminous Efficacy (lm/W),,,,
SDCM, Cool White,,,
Correlation,0.0054,,,
Correlation Coeficient,0.014561057,,,
Color Rendering Index Average (RA),53.27627986,,,
Color Rendering Index (R1),51.7,,,
Color Rendering Index (R2),66.8,,,
Color Rendering Index (R3),71.1,,,
Color Rendering Index (R4),41.2,,,
Color Rendering Index (R5),45,,,
Color Rendering Index (R6),49.9,,,
Color Rendering Index (R7),70.2,,,
Color Rendering Index (R8),30.4,,,
Color Rendering Index (R9),-59.1,,,
Color Rendering Index (R10),24.9,,,
Color Rendering Index (R11),19.9,,,
Color Rendering Index (R12),2.6,,,
Color Rendering Index (R13),52.3,,,
Color Rendering Index (R14),83.9,,,
Measured DUT Current (A),N/A,,,
Measured DUT Voltage (V),N/A,,,
 ,,,,
Spectral Data,,,,
Wavelength ,Scan1,,,
350,0.000170572,,,
351,0.000183053,,,
352,0.000197604,,,
353,0.000198769,,,
354,0.000191827,,,
355,0.000151213,,,
356,0.000164002,,,
357,0.000161981,,,
358,0.00016035,,,
359,0.000149519,,,
360,0.000165242,,,
361,0.000192764,,,
362,0.000142122,,,
363,0.000186518,,,
364,0.000180262,,,
365,0.000143348,,,
366,0.000138599,,,
367,0.000165069,,,
368,0.000179101,,,
369,0.000157795,,,
370,0.000155084,,,
371,0.000190075,,,
372,0.000169637,,,
373,0.000160724,,,
374,0.000150708,,,
375,0.000166101,,,
376,0.00014845,,Blue+Green = 11%,
377,0.000120996,,,
378,0.00015507,,0.110353173,
379,0.000159739,,,
380,0.000122782,,,
381,0.000136119,,,
382,0.000143088,,,
383,0.00011977,,,
384,0.000119046,,,
385,0.000122611,,,
386,0.000119352,,,
387,0.000123937,,,
388,0.0001182,,,
389,0.000116103,,,
390,0.000121393,,,
391,0.00011585,,,
392,0.000110372,,,
393,9.92E-05,,,
394,9.78E-05,,,
395,0.000109972,,,
396,0.000106272,,,
397,9.88E-05,,,
398,9.79E-05,,,
399,8.94E-05,,,
400,8.43E-05,,,
401,9.09E-05,,,
402,8.98E-05,,,
403,8.25E-05,,,
404,8.52E-05,,,
405,8.83E-05,,,
406,7.18E-05,,,
407,7.67E-05,,,
408,7.26E-05,,,
409,7.34E-05,,,
410,7.53E-05,,,
411,6.82E-05,,,
412,7.35E-05,,,
413,7.24E-05,,,
414,6.81E-05,,,
415,7.05E-05,,,
416,6.46E-05,,,
417,7.09E-05,,,
418,5.98E-05,,,
419,5.98E-05,,,
420,7.09E-05,,,
421,8.05E-05,,,
422,6.93E-05,,,
423,7.41E-05,,,
424,6.73E-05,,,
425,6.35E-05,,,
426,6.53E-05,,,
427,7.03E-05,,,
428,6.81E-05,,,
429,6.50E-05,,,
430,7.01E-05,,,
431,7.64E-05,,,
432,7.54E-05,,,
433,7.33E-05,,,
434,6.38E-05,,,
435,7.34E-05,,,
436,7.36E-05,,,
437,7.22E-05,,,
438,7.46E-05,,,
439,7.29E-05,,,
440,7.40E-05,,,
441,7.47E-05,,,
442,7.56E-05,,,
443,7.70E-05,,,
444,7.81E-05,,,
445,7.70E-05,,,
446,7.78E-05,,,
447,8.45E-05,,,
448,8.60E-05,,,
449,7.86E-05,,,
450,7.92E-05,,,
451,8.06E-05,,,
452,7.87E-05,,,
453,8.17E-05,,,
454,8.12E-05,,,
455,8.37E-05,,,
456,7.33E-05,,,
457,7.61E-05,,,
458,7.74E-05,,,
459,7.43E-05,,,
460,7.14E-05,,,
461,7.37E-05,,,
462,7.38E-05,,,
463,7.31E-05,,,
464,7.06E-05,,,
465,7.28E-05,,,
466,7.30E-05,,,
467,7.18E-05,,,
468,7.43E-05,,,
469,7.00E-05,,,
470,7.42E-05,,,
471,7.52E-05,,,
472,7.62E-05,,,
473,7.80E-05,,,
474,7.70E-05,,,
475,8.28E-05,,,
476,7.92E-05,,,
477,8.39E-05,,,
478,8.60E-05,,,
479,8.57E-05,,,
480,9.43E-05,,,
481,9.59E-05,,,
482,9.91E-05,,,
483,0.000106404,,,
484,0.000118319,,,
485,0.000117643,,,
486,0.000129049,,,
487,0.00013426,,,
488,0.00015048,,,
489,0.000159996,,,
490,0.000178815,,,
491,0.000205868,,,
492,0.000229964,,,
493,0.000261407,,,
494,0.000305165,,,
495,0.00034693,,,
496,0.000402519,,,
497,0.00047672,,,
498,0.000564269,,,
499,0.000658903,,,
500,0.000777246,,,
501,0.000924258,,,
502,0.00108994,,,
503,0.001288337,,,
504,0.001517601,,,
505,0.001777728,,,
506,0.002074687,,,
507,0.002424701,,,
508,0.002809091,,,
509,0.003231444,,,
510,0.0036983,,,
511,0.004215159,,,
512,0.004779527,,,
513,0.005409599,,,
514,0.006066833,,,
515,0.006762099,,,
516,0.00750556,,,
517,0.008272501,,,
518,0.009090421,,,
519,0.009951152,,,
520,0.010859086,,,
521,0.011765397,,,
522,0.012688499,,,
523,0.013657842,,,
524,0.014632121,,,
525,0.015645425,,,
526,0.016607352,,,
527,0.017609059,,,
528,0.018655222,,,
529,0.019659786,,,
530,0.020635178,,,
531,0.021665832,,,
532,0.022683519,,,
533,0.0236994,,,
534,0.024691296,,,
535,0.025696,,,
536,0.026693188,,,
537,0.027603387,,,
538,0.028574519,,,
539,0.029605863,,,
540,0.030551904,,,
541,0.031468259,,,
542,0.032438407,,,
543,0.033312523,,,
544,0.034225072,,,
545,0.035141982,,,
546,0.03603376,,,
547,0.036909137,,,
548,0.03778312,,,
549,0.038652045,,,
550,0.039541013,,,
551,0.040435586,,,
552,0.041280874,,,
553,0.042190703,,,
554,0.043021283,,,
555,0.043940698,,,
556,0.044846693,,,
557,0.045760364,,,
558,0.046563523,,,
559,0.047397925,,,
560,0.048284772,,,
561,0.049123636,,,
562,0.049952715,,,
563,0.050687881,,,
564,0.051575217,,,
565,0.052356039,,,
566,0.053227739,,,
567,0.054026253,,,
568,0.054797346,,,
569,0.055672877,,,
570,0.05640122,,,
571,0.05711721,,,
572,0.057829553,,,
573,0.058577426,,,
574,0.059295053,,,
575,0.060002869,,,
576,0.06078766,,,
577,0.061337856,,,
578,0.062014808,,,
579,0.062593865,,,
580,0.063251491,,,
581,0.063805368,,,
582,0.064400423,,,
583,0.064875455,,,
584,0.065329159,,,
585,0.06577949,,,
586,0.066295685,,,
587,0.066624416,,,
588,0.067056401,,,
589,0.067419795,,,
590,0.067725211,,,
591,0.067984489,,,
592,0.068262388,,,
593,0.06843288,,,
594,0.068686544,,,
595,0.068737483,,,
596,0.06886308,,,
597,0.068920118,,,
598,0.068981604,,,
599,0.069001474,,,
600,0.068910817,,,
601,0.068980122,,,
602,0.068810952,,,
603,0.068641533,,,
604,0.06841217,,,
605,0.068191109,,,
606,0.068051259,,,
607,0.06772173,,,
608,0.067397658,,,
609,0.0670331,,,
610,0.066659578,,,
611,0.066253237,,,
612,0.065771136,,,
613,0.065251736,,,
614,0.06468882,,,
615,0.064133709,,,
616,0.063521267,,,
617,0.062917225,,,
618,0.062353174,,,
619,0.061656428,,,
620,0.060998669,,,
621,0.060277397,,,
622,0.059536403,,,
623,0.05891495,,,
624,0.058113326,,,
625,0.057331693,,,
626,0.05660396,,,
627,0.055750021,,,
628,0.055003613,,,
629,0.054292216,,,
630,0.053383901,,,
631,0.052634477,,,
632,0.051798088,,,
633,0.051003771,,,
634,0.050154515,,,
635,0.049340629,,,
636,0.048543343,,,
637,0.047735957,,,
638,0.046886794,,,
639,0.046102798,,,
640,0.045396888,,,
641,0.044557603,,,
642,0.043768497,,,
643,0.043004592,,,
644,0.042164287,,,
645,0.04136391,,,
646,0.040576599,,,
647,0.039831841,,,
648,0.039033083,,,
649,0.038300217,,,
650,0.037535629,,,
651,0.036744653,,,
652,0.036045519,,,
653,0.035289437,,,
654,0.034532305,,,
655,0.033811861,,,
656,0.033113261,,,
657,0.032376535,,,
658,0.031681413,,,
659,0.030986324,,,
660,0.030266347,,,
661,0.029548889,,,
662,0.028895338,,,
663,0.028207116,,,
664,0.027569843,,,
665,0.02690183,,,
666,0.026269889,,,
667,0.025606782,,,
668,0.024975259,,,
669,0.024360906,,,
670,0.02378684,,,
671,0.023227243,,,
672,0.022633171,,,
673,0.022062926,,,
674,0.021481832,,,
675,0.020934129,,,
676,0.020393717,,,
